ID,Thuật toán,Tham số,Chi phí tốt nhất,Chi phí trung bình,Thời gian (s)
93,ACO,alpha=3.0, beta=3.0, min_max_aco=False, local_search=True, elitist_ants=5,986.27,1007.30,1.32
94,ACO,alpha=3.0, beta=3.0, min_max_aco=False, local_search=False, elitist_ants=0,986.76,1079.63,1.24
95,ACO,alpha=3.0, beta=3.0, min_max_aco=False, local_search=False, elitist_ants=2,986.39,1095.73,1.24
96,ACO,alpha=3.0, beta=3.0, min_max_aco=False, local_search=False, elitist_ants=5,999.21,1124.34,1.22
97,ACO,alpha=3.0, beta=5.0, min_max_aco=True, local_search=True, elitist_ants=0,982.63,994.28,1.37
98,ACO,alpha=3.0, beta=5.0, min_max_aco=True, local_search=True, elitist_ants=2,986.27,996.01,1.41
99,ACO,alpha=3.0, beta=5.0, min_max_aco=True, local_search=True, elitist_ants=5,982.63,993.47,1.35
100,ACO,alpha=3.0, beta=5.0, min_max_aco=True, local_search=False, elitist_ants=0,986.76,997.80,1.21
101,ACO,alpha=3.0, beta=5.0, min_max_aco=True, local_search=False, elitist_ants=2,986.39,996.63,1.22
102,ACO,alpha=3.0, beta=5.0, min_max_aco=True, local_search=False, elitist_ants=5,1011.70,1029.51,1.18
103,ACO,alpha=3.0, beta=5.0, min_max_aco=False, local_search=True, elitist_ants=0,986.27,1159.96,1.35
104,ACO,alpha=3.0, beta=5.0, min_max_aco=False, local_search=True, elitist_ants=2,982.63,1126.10,1.35
105,ACO,alpha=3.0, beta=5.0, min_max_aco=False, local_search=True, elitist_ants=5,986.27,1047.39,1.45
106,ACO,alpha=3.0, beta=5.0, min_max_aco=False, local_search=False, elitist_ants=0,1004.46,1174.96,1.22
107,ACO,alpha=3.0, beta=5.0, min_max_aco=False, local_search=False, elitist_ants=2,986.27,1071.45,1.34
108,ACO,alpha=3.0, beta=5.0, min_max_aco=False, local_search=False, elitist_ants=5,986.39,1071.92,1.27
